Product_Name,Colour,Storage_Capacity,Sale_Price,Mrp,Discount_Percentage,Number_Of_Ratings,Number_Of_Reviews,Upc,Star_Rating,Ram,Price_Category,RAM_Category,Revenue,Total_Engagement,Discount_Amount,Quantity_Sold,Revenue(text)
"Apple iPhone XR ",Coral," 128 GB ",41999,52900,20,79582,6804,MOBF9Z7ZS6GF5UAP,4.6,"4 GB",Medium,Medium,334236441.80,86386,10901.00,7958,"33.42 crores"
"Apple iPhone XR ",Black," 128 GB ",41999,52900,20,79512,6796,MOBF9Z7ZYWNFGZUC,4.6,"3 GB",Medium,Low,333942448.80,86308,10901.00,7951,"33.39 crores"
"Apple iPhone XR ",White," 128 GB ",41999,52900,20,79512,6796,MOBF9Z7ZZY3HCDZZ,4.6,"4 GB",Medium,Medium,333942448.80,86308,10901.00,7951,"33.39 crores"
"Apple iPhone 11 Pro Max ",Gold," 256 GB",131900,131900,0,1078,101,MOBFKCTS7HCHSPFH,4.7,"4 GB",High,Medium,14218820.00,1179,0.00,108,"1.42 crores"
"Apple iPhone 11 Pro Max ",Gold," 64 GB",117100,117100,0,1078,101,MOBFKCTSAPAYNSGG,4.7,"4 GB",High,Medium,12623380.00,1179,0.00,108,"1.26 crores"
"Apple iPhone 11 Pro Max ","Midnight Green"," 256 GB",131900,131900,0,1078,101,MOBFKCTSCAAKGQV7,4.7,"4 GB",High,Medium,14218820.00,1179,0.00,108,"1.42 crores"
"Apple iPhone 11 Pro Max ","Space Grey"," 64 GB",117100,117100,0,1078,101,MOBFKCTSKDMKCGQS,4.7,"4 GB",High,Medium,12623380.00,1179,0.00,108,"1.26 crores"
"Apple iPhone 11 Pro ","Midnight Green"," 64 GB",74999,106600,29,7088,523,MOBFKCTSN3TG3RFJ,4.6,"4 GB",High,Medium,53159291.20,7611,31601.00,709,"5.32 crores"
"Apple iPhone 11 Pro ","Space Grey"," 512 GB",117900,140300,15,7088,523,MOBFKCTSRTHRQTFT,4.6,"4 GB",High,Medium,83567520.00,7611,22400.00,709,"8.36 crores"
"Apple iPhone 11 Pro Max ","Midnight Green"," 64 GB",117100,117100,0,1078,101,MOBFKCTSRYPAQNYT,4.7,"4 GB",High,Medium,12623380.00,1179,0.00,108,"1.26 crores"
"Apple iPhone 11 Pro ","Midnight Green"," 512 GB",117900,140300,15,7088,523,MOBFKCTSSJCWYGCC,4.6,"4 GB",High,Medium,83567520.00,7611,22400.00,709,"8.36 crores"
"Apple iPhone 11 Pro ","Space Grey"," 256 GB",99900,121300,17,7081,522,MOBFKCTSWGYSAS9X,4.6,"4 GB",High,Medium,70739190.00,7603,21400.00,708,"7.07 crores"
"Apple iPhone SE ",White," 256 GB ",44999,54900,18,95909,8161,MOBFRFXHPZCHAPEH,4.5,"2 GB",Medium,Low,431580909.10,104070,9901.00,9591,"43.16 crores"
"Apple iPhone 12 Pro ",Silver," 512 GB",140900,149900,6,542,42,MOBFWBYZ5UY6ZBVA,4.5,"4 GB",High,Medium,7636780.00,584,9000.00,54,"76.37 lacs"
"Apple iPhone 12 Pro Max ","Pacific Blue"," 256 GB",130900,139900,6,580,45,MOBFWBYZ8STJXCVT,4.6,"6 GB",High,Medium,7592200.00,625,9000.00,58,"75.92 lacs"
